time	manip	gran	press	averat	laba	proba	StZn
0	0	1	0	1	1	0	0	
1	0	1	0	1	1	0	0	
2	0	1	0	1	1	0	0	
3	0	1	0	1	1	0	0	
4	0	1	0	1	1	0	0	
5	0	2	0	1	1	0	0	
6	0	2	0	1	1	0	0	
7	0	2	0	2	1	0	0	
8	0	2	0	2	2	0	0	
9	1	2	0	0	0	0	0	
10	0	2	0	0	0	0	0	
11	1	0	0	0	0	1	0	
12	1	0	0	0	0	2	0	
13	0	0	0	0	1	2	0	
14	1	0	0	1	1	0	0	
15	1	0	0	1	1	0	0	
16	0	0	0	1	1	0	0	
17	1	0	0	2	1	0	0	
18	1	0	0	2	1	0	0	
19	0	0	0	2	1	0	0	
20	0	0	0	2	1	0	1	
21	0	0	0	2	1	0	1	
22	0	0	0	2	1	0	2	
23	0	0	0	2	2	0	2	
24	1	0	0	3	0	0	2	
25	0	0	0	3	0	0	2	
26	0	0	0	0	0	1	2	
27	1	0	0	0	0	2	2	
28	0	0	0	0	1	2	2	
29	1	0	1	0	1	2	2	
30	1	0	1	0	1	2	2	
31	1	0	1	0	1	2	2	
32	1	0	2	0	1	2	2	
33	0	0	0	0	1	2	2	
34	3	1	0	0	1	2	2	
35	3	1	0	0	1	2	2	
36	0	1	0	0	1	2	2	
37	1	1	0	0	2	0	2	
38	1	1	0	0	0	0	2	
39	0	1	0	0	0	0	2	
40	0	2	0	0	0	0	0	
41	1	2	0	1	0	0	0	
42	1	2	0	1	0	0	0	
43	0	2	0	1	0	0	0	
44	0	2	0	1	0	0	1	
45	0	2	0	2	0	0	1	
46	1	2	0	0	0	0	2	
47	0	2	0	0	0	0	2	
48	1	0	0	0	0	1	2	
49	1	0	0	0	0	2	2	
50	0	0	0	0	1	2	2	
51	1	0	0	1	1	0	2	
52	1	0	0	1	1	0	2	
53	0	0	0	1	1	0	2	
54	0	0	0	1	1	0	2	
55	0	0	0	1	1	0	2	
56	0	0	0	1	1	0	2	
57	0	0	0	1	1	0	2	
58	0	0	0	1	1	0	2	
59	0	0	0	1	1	0	2	
60	0	0	0	2	2	0	2	
61	1	0	0	3	0	0	2	
62	0	0	0	3	0	0	2	
63	0	0	0	0	0	1	2	
64	1	0	0	0	0	2	2	
65	0	0	0	0	1	2	2	
66	1	0	1	0	1	2	2	
67	1	0	1	0	1	2	2	
68	1	0	1	0	1	2	2	
69	1	0	2	0	1	2	2	
70	0	0	0	0	1	2	2	
71	1	1	0	0	1	0	2	
72	1	1	0	0	1	0	2	
73	0	1	0	0	1	0	2	
74	0	1	0	0	2	0	0	
75	1	1	0	1	0	0	0	
76	1	1	0	1	0	0	0	
77	0	2	0	1	0	0	0	
78	0	2	0	1	0	0	1	
79	0	2	0	1	0	0	1	
80	0	2	0	1	0	0	2	
81	0	2	0	2	0	0	2	
82	1	2	0	3	0	0	2	
83	0	2	0	3	0	0	2	
84	0	2	0	0	0	1	2	
85	1	3	0	0	0	2	2	
86	1	3	0	0	1	2	2	
87	0	0	0	0	1	2	2	
88	3	0	0	1	1	2	2	
89	3	0	0	1	1	2	2	
90	0	0	0	1	1	2	2	
91	1	0	0	1	1	0	2	
92	1	0	0	1	1	0	2	
93	0	0	0	1	1	0	2	
94	0	0	0	1	1	0	2	
95	0	0	0	1	1	0	2	
