time	manip	gran	press	averat	laba	proba	StZn
1	20	30	28	19	24	100000	100000	
2	20	30	28	19	24	100000	100000	
3	20	30	28	19	24	100000	100000	
4	20	30	28	19	24	100000	100000	
5	20	16	28	19	24	100000	100000	
6	20	16	28	19	24	100000	100000	
7	20	16	28	7	24	100000	100000	
8	20	16	28	7	24	100000	100000	
9	20	16	28	7	24	100000	100000	
10	18	16	28	7	24	100000	100000	
11	18	16	28	7	24	100000	100000	
12	18	16	28	7	24	100000	100000	
13	15	16	28	7	24	100000	100000	
14	15	16	28	7	24	100000	100000	
15	15	16	28	7	24	100000	100000	
16	12	16	28	7	24	100000	100000	
17	12	16	28	-2	24	100000	100000	
18	12	16	28	-2	24	100000	100000	
19	9	16	28	-2	24	100000	100000	
20	9	16	28	-2	24	100000	100000	
21	9	16	28	-2	24	100000	100000	
22	9	16	28	-2	24	100000	99994	
23	9	16	28	-2	24	100000	99994	
24	9	16	28	-2	24	100000	99994	
25	7	16	28	-2	24	100000	99994	
26	7	16	28	20	24	100000	99994	
27	7	16	28	20	24	100000	99994	
28	5	16	28	20	24	100000	99994	
29	5	16	28	20	24	100000	99994	
30	5	16	28	20	24	100000	99994	
31	5	16	28	20	24	100000	99994	
32	5	16	24	20	24	100000	99994	
33	0	16	24	20	24	100000	99994	
34	0	16	24	20	24	100000	99994	
35	0	16	24	20	24	100000	99994	
36	36	16	24	20	24	100000	99994	
37	36	16	24	20	24	100000	99994	
38	36	16	24	20	24	100000	99994	
39	33	16	24	20	24	100000	99994	
40	32	2	24	20	24	100000	99994	
41	32	2	24	20	24	100000	99994	
42	32	2	24	20	24	100000	99994	
43	29	2	24	20	24	100000	99994	
44	29	2	24	20	24	100000	99994	
45	29	2	24	5	24	100000	99994	
46	29	2	24	5	24	100000	99988	
47	27	2	24	5	24	100000	99988	
48	27	2	24	5	24	100000	99988	
49	27	2	24	5	24	100000	99988	
50	24	2	24	5	24	100000	99988	
51	24	2	24	5	24	100000	99988	
52	24	2	24	5	24	100000	99988	
53	21	2	24	5	24	100000	99988	
54	21	2	24	5	24	100000	99988	
55	21	2	24	5	24	100000	99988	
56	21	2	24	5	24	100000	99988	
57	21	2	24	5	24	100000	99988	
58	21	2	24	5	24	100000	99988	
59	21	2	24	5	24	100000	99988	
60	21	2	24	-12	24	100000	99988	
61	21	2	24	-12	24	100000	99988	
62	19	2	24	-12	24	100000	99988	
63	19	2	24	20	24	100000	99988	
64	19	2	24	20	24	100000	99988	
65	17	2	24	20	24	100000	99988	
66	17	2	24	20	24	100000	99988	
67	17	2	24	20	24	100000	99988	
68	17	2	24	20	24	100000	99988	
69	17	2	20	20	24	100000	99988	
70	12	2	20	20	24	100000	99988	
71	12	2	20	20	24	100000	99988	
72	12	2	20	20	24	100000	99988	
73	9	2	20	20	24	100000	99988	
74	8	2	20	20	24	100000	99988	
75	8	2	20	20	24	100000	99988	
76	8	2	20	20	24	100000	99988	
77	5	-12	20	20	24	100000	99988	
78	5	-12	20	20	24	100000	99988	
79	5	-12	20	20	24	100000	99988	
80	5	-12	20	20	24	100000	99982	
81	5	-12	20	0	24	100000	99982	
82	5	-12	20	0	24	100000	99982	
83	3	-12	20	0	24	100000	99982	
84	3	-12	20	20	24	100000	99982	
85	3	-12	20	20	24	100000	99982	
86	3	-12	20	20	24	100000	99982	
87	0	40	20	20	24	100000	99982	
88	0	40	20	20	24	100000	99982	
89	0	40	20	20	24	100000	99982	
90	36	40	20	20	24	100000	99982	
91	36	40	20	20	24	100000	99982	
92	36	40	20	20	24	100000	99982	
93	33	40	20	20	24	100000	99982	
94	33	40	20	20	24	100000	99982	
95	33	40	20	20	24	100000	99982	
96	33	40	20	20	24	100000	99982	
97	33	40	20	20	24	100000	99982	
98	33	40	20	20	24	100000	99982	
99	33	40	20	20	24	100000	99982	
100	33	40	20	-8	24	100000	99982	
101	33	40	20	-8	24	100000	99982	
102	31	40	20	-8	24	100000	99982	
103	31	40	20	20	24	100000	99982	
104	31	40	20	20	24	100000	99982	
105	29	40	20	20	24	100000	99982	
106	29	40	20	20	24	100000	99982	
107	29	40	20	20	24	100000	99982	
108	29	40	20	20	24	100000	99982	
109	29	40	16	20	24	100000	99982	
110	24	40	16	20	24	100000	99982	
111	24	40	16	20	24	100000	99982	
112	24	40	16	20	24	100000	99982	
113	21	40	16	20	24	100000	99982	
114	20	40	16	20	24	100000	99982	
115	20	40	16	20	24	100000	99982	
116	20	40	16	20	24	100000	99982	
117	17	26	16	20	24	100000	99982	
118	17	26	16	20	24	100000	99982	
119	17	26	16	20	24	100000	99982	
120	17	26	16	20	24	100000	99976	
121	17	26	16	20	24	100000	99976	
122	17	26	16	20	24	100000	99976	
123	17	26	16	20	24	100000	99976	
124	17	26	16	20	24	100000	99976	
125	17	26	16	20	24	100000	99976	
126	17	26	16	20	24	100000	99976	
127	17	26	16	20	24	100000	99976	
128	17	26	16	20	24	100000	99976	
129	17	26	16	-1	24	100000	99976	
130	17	26	16	-1	24	100000	99976	
131	15	26	16	-1	24	100000	99976	
132	15	26	16	20	24	100000	99976	
133	15	26	16	20	24	100000	99976	
134	15	26	16	20	24	100000	99976	
135	12	26	16	20	24	100000	99976	
136	12	26	16	20	24	100000	99976	
137	12	26	16	20	24	100000	99976	
138	9	26	16	20	24	100000	99976	
139	9	26	16	20	24	100000	99976	
140	9	26	16	20	24	100000	99976	
141	9	26	16	12	24	100000	99976	
142	9	26	16	12	24	100000	99976	
143	9	26	16	12	24	100000	99976	
144	9	26	16	12	24	100000	99976	
145	9	26	16	12	24	100000	99976	
146	7	26	16	12	24	100000	99976	
147	7	26	16	12	24	100000	99976	
148	5	26	16	12	24	100000	99976	
